config,method,ratio,cv_accuracy,cv_acc_std,cv_precision,cv_recall,cv_f1,cv_f1_std
RUS25,RUS,25%,0.7703471200458918,0.007517522247167305,0.7709223094955467,0.7703471200458918,0.7705976487838379,0.006915910039629457
RUS50,RUS,50%,0.7376156890352086,0.008215891664726293,0.7875619742204518,0.7376156890352086,0.7564661494479169,0.00712454217076218
RUS75,RUS,75%,0.7129146159742213,0.009168937089951836,0.7976763850339249,0.7129146159742213,0.74029687143586,0.007841258877950551
RUS100,RUS,100%,0.6957479724605827,0.008235825532401347,0.8079287493142582,0.6957479724605827,0.7279197019928256,0.007111485664203574
SMOTE25,SMOTE,25%,0.7709574285308228,0.007520872958247719,0.7691744612277438,0.7709574285308228,0.7700082510578794,0.006883199250744272
SMOTE50,SMOTE,50%,0.7542675639611195,0.008612323844654131,0.7738444030854688,0.7542675639611195,0.762954759921902,0.008074816045281813
SMOTE75,SMOTE,75%,0.7433953725331929,0.007983815326300629,0.778309667171946,0.7433953725331929,0.7577116602328569,0.007092889349172965
SMOTE100,SMOTE,100%,0.7353461743981164,0.008376378937575786,0.7812227075690222,0.7353461743981164,0.7531886864963905,0.007505758440188049
